Year,Program,Category,Expense,Revenue
2012,Municipal Licensing & Standards,Service And Rent,1775600,
2012,Municipal Licensing & Standards,Sundry and Other Revenues,,23383100
2012,Municipal Licensing & Standards,Transfers from Capital Fund,,
2012,Municipal Licensing & Standards,User Fees & Donations,,3171100
2013,Non-Program,Salaries And Benefits,44962051,
2013,Non-Program,Materials & Supplies,200000,
2013,Non-Program,Equipment,,
2013,Non-Program,Service And Rent,337149918,
2013,Non-Program,Contributions to Capital,218515000,
2013,Non-Program,Contribution To Reserves/Reserve Funds,111344238,
2013,Non-Program,Other Expenditures,569419279,
2013,Non-Program,Inter-Divisional Charges,21572760,
2013,Non-Program,Inter-Divisional Recoveries,,35299700
2013,Non-Program,Provincial Subsidies,,1700062.07
2013,Non-Program,Federal Subsidies,,
2013,Non-Program,Other Subsidies,,
2013,Non-Program,User Fees & Donations,,3503057.7
2013,Non-Program,Licences & Permits Revenue,,4886595.23
2013,Non-Program,Transfers from Capital Fund,,
2013,Non-Program,Contribution From Reserves/Reserve Funds,,264806522.2
2013,Non-Program,Sundry and Other Revenues,,4558086316
2014,Non-Program Expenditures,Contribution To Reserves/Reserve Funds,91732600,
2014,Non-Program Expenditures,Inter-Divisional Charges,62527874,
2014,Non-Program Expenditures,Materials & Supplies,200000,
2014,Non-Program Expenditures,Other Expenditures,135965551,
2014,Non-Program Expenditures,Salaries And Benefits,52841300,
2014,Non-Program Expenditures,Service And Rent,335785845.4,
2014,Non-Program Expenditures,Contribution From Reserves/Reserve Funds,,138473491.4
2014,Non-Program Expenditures,Federal Subsidies,,14859939
2014,Non-Program Expenditures,Provincial Subsidies,,14859939
2014,Non-Program Expenditures,Sundry and Other Revenues,,44809482
2014,Non-Program Expenditures,User Fees & Donations,,1449836
2014,Non-Program Revenues,Contribution To Reserves/Reserve Funds,-327,
2014,Non-Program Revenues,Inter-Divisional Charges,3208747,
2014,Non-Program Revenues,Other Expenditures,290000,
2014,Non-Program Revenues,Service And Rent,5767329,
2014,Non-Program Revenues,Contribution From Reserves/Reserve Funds,,97600000
2014,Non-Program Revenues,Inter-Divisional Recoveries,,35299700
2014,Non-Program Revenues,Licences & Permits Revenue,,4446608
2014,Non-Program Revenues,Sundry and Other Revenues,,869138764.3
2014,Non-Program Revenues,User Fees & Donations,,1871534
2010,Office of the Chief Financial Officer,Contribution From Reserves/Reserve Funds,,169500
2010,Office of the Chief Financial Officer,Contribution From Reserves/Reserve Funds,,1286300
2010,Office of the Chief Financial Officer,Contributions to Capital,,
2010,Office of the Chief Financial Officer,Contribution To Reserves/Reserve Funds,69000,
2010,Office of the Chief Financial Officer,Equipment,7700,
2010,Office of the Chief Financial Officer,Federal Subsidies,,
2010,Office of the Chief Financial Officer,Inter-Divisional Charges,213000,
2010,Office of the Chief Financial Officer,Inter-Divisional Recoveries,,1945200
2010,Office of the Chief Financial Officer,Materials & Supplies,95000,
2010,Office of the Chief Financial Officer,Other Expenditures,2000,
2010,Office of the Chief Financial Officer,Other Subsidies,,
2010,Office of the Chief Financial Officer,Provincial Subsidies,,
2010,Office of the Chief Financial Officer,Salaries And Benefits,14481500,
2010,Office of the Chief Financial Officer,Service And Rent,643800,
2010,Office of the Chief Financial Officer,Sundry and Other Revenues,,128100
2010,Office of the Chief Financial Officer,Transfers from Capital Fund,,3054400
2010,Office of the Chief Financial Officer,User Fees & Donations,,
2011,Office of the Chief Financial Officer,Contribution From Reserves/Reserve Funds,,190500
2011,Office of the Chief Financial Officer,Contribution From Reserves/Reserve Funds,,1311500
2011,Office of the Chief Financial Officer,Contributions to Capital,,
2011,Office of the Chief Financial Officer,Contribution To Reserves/Reserve Funds,69000,
2011,Office of the Chief Financial Officer,Equipment,9600,
2011,Office of the Chief Financial Officer,Federal Subsidies,,
2011,Office of the Chief Financial Officer,Inter-Divisional Charges,191000,
2011,Office of the Chief Financial Officer,Inter-Divisional Recoveries,,2052800
2011,Office of the Chief Financial Officer,Materials & Supplies,76400,
2011,Office of the Chief Financial Officer,Other Expenditures,2000,
2011,Office of the Chief Financial Officer,Other Subsidies,,
2011,Office of the Chief Financial Officer,Provincial Subsidies,,
2011,Office of the Chief Financial Officer,Salaries And Benefits,14375800,
2011,Office of the Chief Financial Officer,Service And Rent,598100,
2011,Office of the Chief Financial Officer,Sundry and Other Revenues,,138100
2011,Office of the Chief Financial Officer,Transfers from Capital Fund,,2889200
2011,Office of the Chief Financial Officer,User Fees & Donations,,
2012,Office of the Chief Financial Officer,Contribution From Reserves/Reserve Funds,,190500
2012,Office of the Chief Financial Officer,Contribution From Reserves/Reserve Funds,,1278400
2012,Office of the Chief Financial Officer,Contributions to Capital,,
2012,Office of the Chief Financial Officer,Contribution To Reserves/Reserve Funds,71700,
2012,Office of the Chief Financial Officer,Equipment,6500,
2012,Office of the Chief Financial Officer,Federal Subsidies,,
2012,Office of the Chief Financial Officer,Inter-Divisional Charges,180700,
2012,Office of the Chief Financial Officer,Inter-Divisional Recoveries,,2404700
2012,Office of the Chief Financial Officer,Materials & Supplies,69500,
2012,Office of the Chief Financial Officer,Other Expenditures,2000,
2012,Office of the Chief Financial Officer,Other Subsidies,,
2012,Office of the Chief Financial Officer,Provincial Subsidies,,
2012,Office of the Chief Financial Officer,Salaries And Benefits,15840100,
2012,Office of the Chief Financial Officer,Service And Rent,594500,
2012,Office of the Chief Financial Officer,Sundry and Other Revenues,,128100
2012,Office of the Chief Financial Officer,Transfers from Capital Fund,,4165100
2012,Office of the Chief Financial Officer,User Fees & Donations,,
2013,Office of the Chief Financial Officer,Salaries And Benefits,15281009,
2013,Office of the Chief Financial Officer,Materials & Supplies,65158,
2013,Office of the Chief Financial Officer,Equipment,6601,
2013,Office of the Chief Financial Officer,Service And Rent,649221,
2013,Office of the Chief Financial Officer,Contribution To Reserves/Reserve Funds,72618,
2013,Office of the Chief Financial Officer,Other Expenditures,500,
2013,Office of the Chief Financial Officer,Inter-Divisional Charges,179318,
2013,Office of the Chief Financial Officer,Inter-Divisional Recoveries,,1965505
2013,Office of the Chief Financial Officer,Transfers from Capital Fund,,3264194
2013,Office of the Chief Financial Officer,Contribution From Reserves/Reserve Funds,,1510310
2013,Office of the Chief Financial Officer,Sundry and Other Revenues,,68650
2014,Office of the Chief Financial Officer,Contribution To Reserves/Reserve Funds,72618,
2014,Office of the Chief Financial Officer,Equipment,18746.22,
2014,Office of the Chief Financial Officer,Inter-Divisional Charges,178767,
2014,Office of the Chief Financial Officer,Materials & Supplies,65722.74,
2014,Office of the Chief Financial Officer,Other Expenditures,500,
2014,Office of the Chief Financial Officer,Salaries And Benefits,15171807,
2014,Office of the Chief Financial Officer,Service And Rent,694365.07,
2014,Office of the Chief Financial Officer,Contribution From Reserves/Reserve Funds,,2078764
2014,Office of the Chief Financial Officer,Inter-Divisional Recoveries,,2117342
2014,Office of the Chief Financial Officer,Sundry and Other Revenues,,36130
2014,Office of the Chief Financial Officer,Transfers from Capital Fund,,2524525
2010,Office of the Lobbyist Registrar,Contribution From Reserves/Reserve Funds,,
2010,Office of the Lobbyist Registrar,Contribution From Reserves/Reserve Funds,,
2010,Office of the Lobbyist Registrar,Contributions to Capital,,
2010,Office of the Lobbyist Registrar,Contribution To Reserves/Reserve Funds,1300,
2010,Office of the Lobbyist Registrar,Equipment,1700,
2010,Office of the Lobbyist Registrar,Federal Subsidies,,
2010,Office of the Lobbyist Registrar,Inter-Divisional Charges,2500,
2010,Office of the Lobbyist Registrar,Inter-Divisional Recoveries,,
2010,Office of the Lobbyist Registrar,Materials & Supplies,4700,
2010,Office of the Lobbyist Registrar,Other Expenditures,,
2010,Office of the Lobbyist Registrar,Other Subsidies,,
2010,Office of the Lobbyist Registrar,Provincial Subsidies,,
2010,Office of the Lobbyist Registrar,Salaries And Benefits,820400,
2010,Office of the Lobbyist Registrar,Service And Rent,75800,
2010,Office of the Lobbyist Registrar,Sundry and Other Revenues,,
2010,Office of the Lobbyist Registrar,Transfers from Capital Fund,,
2010,Office of the Lobbyist Registrar,User Fees & Donations,,
2011,Office of the Lobbyist Registrar,Contribution From Reserves/Reserve Funds,,
2011,Office of the Lobbyist Registrar,Contribution From Reserves/Reserve Funds,,
2011,Office of the Lobbyist Registrar,Contributions to Capital,,
2011,Office of the Lobbyist Registrar,Contribution To Reserves/Reserve Funds,1300,
2011,Office of the Lobbyist Registrar,Equipment,6100,
2011,Office of the Lobbyist Registrar,Federal Subsidies,,
2011,Office of the Lobbyist Registrar,Inter-Divisional Charges,1100,
2011,Office of the Lobbyist Registrar,Inter-Divisional Recoveries,,
2011,Office of the Lobbyist Registrar,Materials & Supplies,9900,
2011,Office of the Lobbyist Registrar,Other Expenditures,,
2011,Office of the Lobbyist Registrar,Other Subsidies,,
2011,Office of the Lobbyist Registrar,Provincial Subsidies,,
2011,Office of the Lobbyist Registrar,Salaries And Benefits,936900,
2011,Office of the Lobbyist Registrar,Service And Rent,67990,
2011,Office of the Lobbyist Registrar,Sundry and Other Revenues,,
2011,Office of the Lobbyist Registrar,Transfers from Capital Fund,,
2011,Office of the Lobbyist Registrar,User Fees & Donations,,
2012,Office of the Lobbyist Registrar,Contribution From Reserves/Reserve Funds,,0
2012,Office of the Lobbyist Registrar,Contribution From Reserves/Reserve Funds,,0
2012,Office of the Lobbyist Registrar,Contributions to Capital,0,
2012,Office of the Lobbyist Registrar,Contribution To Reserves/Reserve Funds,1400,
2012,Office of the Lobbyist Registrar,Equipment,2100,
2012,Office of the Lobbyist Registrar,Federal Subsidies,,0
2012,Office of the Lobbyist Registrar,Inter-Divisional Charges,600,
2012,Office of the Lobbyist Registrar,Inter-Divisional Recoveries,,0
2012,Office of the Lobbyist Registrar,Materials & Supplies,10100,
2012,Office of the Lobbyist Registrar,Other Expenditures,0,
2012,Office of the Lobbyist Registrar,Other Subsidies,,0
2012,Office of the Lobbyist Registrar,Provincial Subsidies,,0
2012,Office of the Lobbyist Registrar,Salaries And Benefits,969500,
2012,Office of the Lobbyist Registrar,Service And Rent,77600,
2012,Office of the Lobbyist Registrar,Sundry and Other Revenues,,9000
2012,Office of the Lobbyist Registrar,Transfers from Capital Fund,,0
2012,Office of the Lobbyist Registrar,User Fees & Donations,,0
2013,Office of the Lobbyist Registrar,Salaries And Benefits,1002903.01,
2013,Office of the Lobbyist Registrar,Materials & Supplies,7314.32,
2013,Office of the Lobbyist Registrar,Equipment,2185.04,
2013,Office of the Lobbyist Registrar,Service And Rent,72911.89,
2013,Office of the Lobbyist Registrar,Contribution To Reserves/Reserve Funds,1386.44,
2013,Office of the Lobbyist Registrar,Inter-Divisional Charges,600,
2014,Office of the Lobbyist Registrar,Contribution To Reserves/Reserve Funds,1386.44,
2014,Office of the Lobbyist Registrar,Equipment,2233.11,
2014,Office of the Lobbyist Registrar,Inter-Divisional Charges,600,
2014,Office of the Lobbyist Registrar,Materials & Supplies,7418.39,
2014,Office of the Lobbyist Registrar,Salaries And Benefits,1021676.32,
2014,Office of the Lobbyist Registrar,Service And Rent,54053.44,
2010,Office of the Ombudsman,Contribution From Reserves/Reserve Funds,,
2010,Office of the Ombudsman,Contribution From Reserves/Reserve Funds,,
2010,Office of the Ombudsman,Contributions to Capital,,
2010,Office of the Ombudsman,Contribution To Reserves/Reserve Funds,1700,
2010,Office of the Ombudsman,Equipment,10000,
2010,Office of the Ombudsman,Federal Subsidies,,
2010,Office of the Ombudsman,Inter-Divisional Charges,11800,
2010,Office of the Ombudsman,Inter-Divisional Recoveries,,
2010,Office of the Ombudsman,Materials & Supplies,8100,
2010,Office of the Ombudsman,Other Expenditures,,
2010,Office of the Ombudsman,Other Subsidies,,
2010,Office of the Ombudsman,Provincial Subsidies,,
2010,Office of the Ombudsman,Salaries And Benefits,1120800,
2010,Office of the Ombudsman,Service And Rent,202100,
2010,Office of the Ombudsman,Sundry and Other Revenues,,
2010,Office of the Ombudsman,Transfers from Capital Fund,,
2010,Office of the Ombudsman,User Fees & Donations,,
2011,Office of the Ombudsman,Contribution From Reserves/Reserve Funds,,
2011,Office of the Ombudsman,Contribution From Reserves/Reserve Funds,,
2011,Office of the Ombudsman,Contributions to Capital,,
2011,Office of the Ombudsman,Contribution To Reserves/Reserve Funds,1700,
2011,Office of the Ombudsman,Equipment,6490,
2011,Office of the Ombudsman,Federal Subsidies,,
2011,Office of the Ombudsman,Inter-Divisional Charges,11800,
2011,Office of the Ombudsman,Inter-Divisional Recoveries,,
2011,Office of the Ombudsman,Materials & Supplies,11890,
2011,Office of the Ombudsman,Other Expenditures,,
2011,Office of the Ombudsman,Other Subsidies,,
2011,Office of the Ombudsman,Provincial Subsidies,,
2011,Office of the Ombudsman,Salaries And Benefits,1152270,
2011,Office of the Ombudsman,Service And Rent,207000,
2011,Office of the Ombudsman,Sundry and Other Revenues,,
2011,Office of the Ombudsman,Transfers from Capital Fund,,
2011,Office of the Ombudsman,User Fees & Donations,,
2012,Office of the Ombudsman,Contribution From Reserves/Reserve Funds,,0
2012,Office of the Ombudsman,Contribution From Reserves/Reserve Funds,,0
2012,Office of the Ombudsman,Contributions to Capital,0,
2012,Office of the Ombudsman,Contribution To Reserves/Reserve Funds,1800,
2012,Office of the Ombudsman,Equipment,6600,
2012,Office of the Ombudsman,Federal Subsidies,,0
2012,Office of the Ombudsman,Inter-Divisional Charges,11800,
2012,Office of the Ombudsman,Inter-Divisional Recoveries,,0
2012,Office of the Ombudsman,Materials & Supplies,12100,
2012,Office of the Ombudsman,Other Expenditures,0,
2012,Office of the Ombudsman,Other Subsidies,,0
2012,Office of the Ombudsman,Provincial Subsidies,,0
2012,Office of the Ombudsman,Salaries And Benefits,1184800,
2012,Office of the Ombudsman,Service And Rent,204100,
2012,Office of the Ombudsman,Sundry and Other Revenues,,0
2012,Office of the Ombudsman,Transfers from Capital Fund,,0
2012,Office of the Ombudsman,User Fees & Donations,,0
2013,Office of the Ombudsman,Salaries And Benefits,1348152.05,
2013,Office of the Ombudsman,Materials & Supplies,12242.78,
2013,Office of the Ombudsman,Equipment,6773.82,
2013,Office of the Ombudsman,Service And Rent,212576.39,
2013,Office of the Ombudsman,Contribution To Reserves/Reserve Funds,1797.26,
2013,Office of the Ombudsman,Inter-Divisional Charges,11800,
2014,Office of the Ombudsman,Contribution To Reserves/Reserve Funds,1797.26,
2014,Office of the Ombudsman,Equipment,6922.84,
2014,Office of the Ombudsman,Inter-Divisional Charges,11800,
2014,Office of the Ombudsman,Materials & Supplies,12410.69,
2014,Office of the Ombudsman,Salaries And Benefits,1385690.79,
2014,Office of the Ombudsman,Service And Rent,217187.06,
2010,Office of the Treasurer,Contribution From Reserves/Reserve Funds,,879800
2010,Office of the Treasurer,Contribution From Reserves/Reserve Funds,,
2010,Office of the Treasurer,Contributions to Capital,500000,
2010,Office of the Treasurer,Contribution To Reserves/Reserve Funds,284900,
2010,Office of the Treasurer,Equipment,456200,
2010,Office of the Treasurer,Federal Subsidies,,
2010,Office of the Treasurer,Inter-Divisional Charges,1914200,
2010,Office of the Treasurer,Inter-Divisional Recoveries,,31006100
2010,Office of the Treasurer,Materials & Supplies,1973600,
2010,Office of the Treasurer,Other Expenditures,1404600,
2010,Office of the Treasurer,Other Subsidies,,
2010,Office of the Treasurer,Provincial Subsidies,,
2010,Office of the Treasurer,Salaries And Benefits,61733200,
2010,Office of the Treasurer,Service And Rent,7500700,
2010,Office of the Treasurer,Sundry and Other Revenues,,2981500
2010,Office of the Treasurer,Transfers from Capital Fund,,3227600
2010,Office of the Treasurer,User Fees & Donations,,7463400
2011,Office of the Treasurer,Contribution From Reserves/Reserve Funds,,632700
2011,Office of the Treasurer,Contribution From Reserves/Reserve Funds,,
2011,Office of the Treasurer,Contributions to Capital,,
2011,Office of the Treasurer,Contribution To Reserves/Reserve Funds,283000,
2011,Office of the Treasurer,Equipment,183000,
2011,Office of the Treasurer,Federal Subsidies,,
2011,Office of the Treasurer,Inter-Divisional Charges,1998300,
2011,Office of the Treasurer,Inter-Divisional Recoveries,,30677300
2011,Office of the Treasurer,Materials & Supplies,1764600,
2011,Office of the Treasurer,Other Expenditures,1404600,
2011,Office of the Treasurer,Other Subsidies,,
2011,Office of the Treasurer,Provincial Subsidies,,
2011,Office of the Treasurer,Salaries And Benefits,61974900,
2011,Office of the Treasurer,Service And Rent,7087700,
2011,Office of the Treasurer,Sundry and Other Revenues,,2940900
2011,Office of the Treasurer,Transfers from Capital Fund,,2691600
2011,Office of the Treasurer,User Fees & Donations,,8119800
2012,Office of the Treasurer,Contribution From Reserves/Reserve Funds,,
2012,Office of the Treasurer,Contribution From Reserves/Reserve Funds,,304900
2012,Office of the Treasurer,Contributions to Capital,,
2012,Office of the Treasurer,Contribution To Reserves/Reserve Funds,286900,
2012,Office of the Treasurer,Equipment,115000,
2012,Office of the Treasurer,Federal Subsidies,,
2012,Office of the Treasurer,Inter-Divisional Charges,2158700,
2012,Office of the Treasurer,Inter-Divisional Recoveries,,30801200
2012,Office of the Treasurer,Materials & Supplies,1389700,
2012,Office of the Treasurer,Other Expenditures,1340600,
2012,Office of the Treasurer,Other Subsidies,,
2012,Office of the Treasurer,Provincial Subsidies,,
2012,Office of the Treasurer,Salaries And Benefits,61298700,
2012,Office of the Treasurer,Service And Rent,6753700,
2012,Office of the Treasurer,Sundry and Other Revenues,,3001100
2012,Office of the Treasurer,Transfers from Capital Fund,,3144400
2012,Office of the Treasurer,User Fees & Donations,,10232000
2013,Office of the Treasurer,Salaries And Benefits,61655850.37,
2013,Office of the Treasurer,Materials & Supplies,1333218.89,
2013,Office of the Treasurer,Equipment,106159.87,
2013,Office of the Treasurer,Service And Rent,6940339.39,
2013,Office of the Treasurer,Contribution To Reserves/Reserve Funds,113609.26,
2013,Office of the Treasurer,Other Expenditures,1472600,
2013,Office of the Treasurer,Inter-Divisional Charges,2138504,
2013,Office of the Treasurer,Inter-Divisional Recoveries,,24370915.35
2013,Office of the Treasurer,User Fees & Donations,,10549386
2013,Office of the Treasurer,Transfers from Capital Fund,,3963192.75
2013,Office of the Treasurer,Contribution From Reserves/Reserve Funds,,1902649.14
2013,Office of the Treasurer,Sundry and Other Revenues,,3076089
2014,Office of the Treasurer,Contribution To Reserves/Reserve Funds,109409.26,
2014,Office of the Treasurer,Equipment,108495.4,
2014,Office of the Treasurer,Inter-Divisional Charges,2265684.24,
2014,Office of the Treasurer,Materials & Supplies,1191729.53,
2014,Office of the Treasurer,Other Expenditures,1397732.48,
2014,Office of the Treasurer,Salaries And Benefits,62264906.18,
2014,Office of the Treasurer,Service And Rent,7048741.77,
2014,Office of the Treasurer,Contribution From Reserves/Reserve Funds,,1382163.94
2014,Office of the Treasurer,Inter-Divisional Recoveries,,24641946.01
2014,Office of the Treasurer,Sundry and Other Revenues,,3196934
2014,Office of the Treasurer,Transfers from Capital Fund,,3786869.55
2014,Office of the Treasurer,User Fees & Donations,,11005904.68
2012,Parking Tags Enforcement & Operations,Contribution From Reserves/Reserve Funds,,
2012,Parking Tags Enforcement & Operations,Contribution From Reserves/Reserve Funds,,
2012,Parking Tags Enforcement & Operations,Contributions to Capital,534000,
2012,Parking Tags Enforcement & Operations,Contribution To Reserves/Reserve Funds,169000,
2012,Parking Tags Enforcement & Operations,Equipment,94200,
2012,Parking Tags Enforcement & Operations,Federal Subsidies,,
2012,Parking Tags Enforcement & Operations,Inter-Divisional Charges,11451300,
2012,Parking Tags Enforcement & Operations,Inter-Divisional Recoveries,,
2012,Parking Tags Enforcement & Operations,Materials & Supplies,1594000,
2012,Parking Tags Enforcement & Operations,Other Expenditures,265000,
2012,Parking Tags Enforcement & Operations,Other Subsidies,,
2012,Parking Tags Enforcement & Operations,Provincial Subsidies,,
2012,Parking Tags Enforcement & Operations,Salaries And Benefits,36334400,
2012,Parking Tags Enforcement & Operations,Service And Rent,7375600,
2012,Parking Tags Enforcement & Operations,Sundry and Other Revenues,,80649400
2012,Parking Tags Enforcement & Operations,Transfers from Capital Fund,,
2012,Parking Tags Enforcement & Operations,User Fees & Donations,,
2013,"Parks, Forestry & Recreation",Salaries And Benefits,265087384.2,
2013,"Parks, Forestry & Recreation",Materials & Supplies,32319019.12,
2013,"Parks, Forestry & Recreation",Equipment,2535192,
2013,"Parks, Forestry & Recreation",Service And Rent,55656644,
2013,"Parks, Forestry & Recreation",Contribution To Reserves/Reserve Funds,9700353,
2013,"Parks, Forestry & Recreation",Other Expenditures,11714244,
2013,"Parks, Forestry & Recreation",Inter-Divisional Charges,18887707,
2013,"Parks, Forestry & Recreation",Inter-Divisional Recoveries,,7005017
2013,"Parks, Forestry & Recreation",Provincial Subsidies,,433412
2013,"Parks, Forestry & Recreation",Federal Subsidies,,3500000
2013,"Parks, Forestry & Recreation",User Fees & Donations,,75883732
2013,"Parks, Forestry & Recreation",Licences & Permits Revenue,,8832286
2013,"Parks, Forestry & Recreation",Transfers from Capital Fund,,4957342
2013,"Parks, Forestry & Recreation",Contribution From Reserves/Reserve Funds,,19206783.6
2013,"Parks, Forestry & Recreation",Sundry and Other Revenues,,3010626
2014,"Parks, Forestry & Recreation",Contribution To Reserves/Reserve Funds,9824732.64,
2014,"Parks, Forestry & Recreation",Equipment,3290672.56,
2014,"Parks, Forestry & Recreation",Inter-Divisional Charges,19512211.69,
2014,"Parks, Forestry & Recreation",Materials & Supplies,33786129.55,
2014,"Parks, Forestry & Recreation",Other Expenditures,11327319.49,
2014,"Parks, Forestry & Recreation",Salaries And Benefits,273326486.6,
2014,"Parks, Forestry & Recreation",Service And Rent,61977278.26,
2014,"Parks, Forestry & Recreation",Contribution From Reserves/Reserve Funds,,18747698.96
2014,"Parks, Forestry & Recreation",Federal Subsidies,,3500000
2014,"Parks, Forestry & Recreation",Inter-Divisional Recoveries,,7009167
2014,"Parks, Forestry & Recreation",Licences & Permits Revenue,,8906277.9
2014,"Parks, Forestry & Recreation",Provincial Subsidies,,609972.02
2014,"Parks, Forestry & Recreation",Sundry and Other Revenues,,3519934.96
2014,"Parks, Forestry & Recreation",Transfers from Capital Fund,,5504059.44
2014,"Parks, Forestry & Recreation",User Fees & Donations,,76330516.06
2010,"Parks, Forestry & Recreation",Contribution From Reserves/Reserve Funds,,
2010,"Parks, Forestry & Recreation",Contribution From Reserves/Reserve Funds,,7359864.21
2010,"Parks, Forestry & Recreation",Contributions to Capital,,
2010,"Parks, Forestry & Recreation",Contribution To Reserves/Reserve Funds,9600453.84,
2010,"Parks, Forestry & Recreation",Equipment,2874918,
2010,"Parks, Forestry & Recreation",Federal Subsidies,,3616000
2010,"Parks, Forestry & Recreation",Inter-Divisional Charges,15740219,
2010,"Parks, Forestry & Recreation",Inter-Divisional Recoveries,,4596697
2010,"Parks, Forestry & Recreation",Materials & Supplies,34325516.21,
2010,"Parks, Forestry & Recreation",Other Expenditures,8914404,
2010,"Parks, Forestry & Recreation",Other Subsidies,,
2010,"Parks, Forestry & Recreation",Provincial Subsidies,,855200
2010,"Parks, Forestry & Recreation",Salaries And Benefits,247012337.5,
2010,"Parks, Forestry & Recreation",Service And Rent,43175562.89,
2010,"Parks, Forestry & Recreation",Sundry and Other Revenues,,11561248.89
2010,"Parks, Forestry & Recreation",Transfers from Capital Fund,,3443493
2010,"Parks, Forestry & Recreation",User Fees & Donations,,68539632
2011,"Parks, Forestry & Recreation",Contribution From Reserves/Reserve Funds,,
2011,"Parks, Forestry & Recreation",Contribution From Reserves/Reserve Funds,,7210720.21
2011,"Parks, Forestry & Recreation",Contributions to Capital,,
2011,"Parks, Forestry & Recreation",Contribution To Reserves/Reserve Funds,8172710.37,
2011,"Parks, Forestry & Recreation",Equipment,2482582.226,
2011,"Parks, Forestry & Recreation",Federal Subsidies,,4066000
2011,"Parks, Forestry & Recreation",Inter-Divisional Charges,16933452.67,
2011,"Parks, Forestry & Recreation",Inter-Divisional Recoveries,,5013767.04
2011,"Parks, Forestry & Recreation",Materials & Supplies,34554569.17,
2011,"Parks, Forestry & Recreation",Other Expenditures,9560174,
2011,"Parks, Forestry & Recreation",Other Subsidies,,
2011,"Parks, Forestry & Recreation",Provincial Subsidies,,760000
2011,"Parks, Forestry & Recreation",Salaries And Benefits,259049914.2,
2011,"Parks, Forestry & Recreation",Service And Rent,45405899.95,
2011,"Parks, Forestry & Recreation",Sundry and Other Revenues,,11400858
2011,"Parks, Forestry & Recreation",Transfers from Capital Fund,,3409425.59
2011,"Parks, Forestry & Recreation",User Fees & Donations,,69101529.2
2012,"Parks, Forestry & Recreation",Contribution From Reserves/Reserve Funds,,
2012,"Parks, Forestry & Recreation",Contribution From Reserves/Reserve Funds,,10760700
2012,"Parks, Forestry & Recreation",Contributions to Capital,,
2012,"Parks, Forestry & Recreation",Contribution To Reserves/Reserve Funds,8644800,
2012,"Parks, Forestry & Recreation",Equipment,2364900,
2012,"Parks, Forestry & Recreation",Federal Subsidies,,3500000
2012,"Parks, Forestry & Recreation",Inter-Divisional Charges,19336400,
2012,"Parks, Forestry & Recreation",Inter-Divisional Recoveries,,4880900
2012,"Parks, Forestry & Recreation",Materials & Supplies,32467700,
2012,"Parks, Forestry & Recreation",Other Expenditures,11274000,
2012,"Parks, Forestry & Recreation",Other Subsidies,,
2012,"Parks, Forestry & Recreation",Provincial Subsidies,,1081400
2012,"Parks, Forestry & Recreation",Salaries And Benefits,258774800,
2012,"Parks, Forestry & Recreation",Service And Rent,49773000,
2012,"Parks, Forestry & Recreation",Sundry and Other Revenues,,12697000
2012,"Parks, Forestry & Recreation",Transfers from Capital Fund,,4795900
2012,"Parks, Forestry & Recreation",User Fees & Donations,,72798000
2013,"Policy, Planning, Finance & Administration",Salaries And Benefits,17897995.81,
2013,"Policy, Planning, Finance & Administration",Materials & Supplies,1201843.34,
2013,"Policy, Planning, Finance & Administration",Equipment,89823.16,
2013,"Policy, Planning, Finance & Administration",Service And Rent,625924.45,
2013,"Policy, Planning, Finance & Administration",Contribution To Reserves/Reserve Funds,94243.56,
2013,"Policy, Planning, Finance & Administration",Other Expenditures,8000,
2013,"Policy, Planning, Finance & Administration",Inter-Divisional Charges,2138917.28,
2013,"Policy, Planning, Finance & Administration",Inter-Divisional Recoveries,,9002472
2013,"Policy, Planning, Finance & Administration",Provincial Subsidies,,85000
2013,"Policy, Planning, Finance & Administration",Transfers from Capital Fund,,2292304.14
2013,"Policy, Planning, Finance & Administration",Contribution From Reserves/Reserve Funds,,121668
2013,"Policy, Planning, Finance & Administration",Sundry and Other Revenues,,11000
2014,"Policy, Planning, Finance & Administration",Contribution To Reserves/Reserve Funds,116668.9,
2014,"Policy, Planning, Finance & Administration",Equipment,87988.84,
2014,"Policy, Planning, Finance & Administration",Inter-Divisional Charges,757609.46,
2014,"Policy, Planning, Finance & Administration",Materials & Supplies,1145401.79,
2014,"Policy, Planning, Finance & Administration",Salaries And Benefits,19109221.12,
2014,"Policy, Planning, Finance & Administration",Service And Rent,845971.55,
2014,"Policy, Planning, Finance & Administration",Inter-Divisional Recoveries,,9471092.63
2014,"Policy, Planning, Finance & Administration",Provincial Subsidies,,85000
2014,"Policy, Planning, Finance & Administration",Sundry and Other Revenues,,232040
2014,"Policy, Planning, Finance & Administration",Transfers from Capital Fund,,2389912.09
2010,"Policy, Planning, Finance & Administration",Contribution From Reserves/Reserve Funds,,
2010,"Policy, Planning, Finance & Administration",Contribution From Reserves/Reserve Funds,,
2010,"Policy, Planning, Finance & Administration",Contributions to Capital,,
2010,"Policy, Planning, Finance & Administration",Contribution To Reserves/Reserve Funds,198000,
2010,"Policy, Planning, Finance & Administration",Equipment,890500,
2010,"Policy, Planning, Finance & Administration",Federal Subsidies,,
2010,"Policy, Planning, Finance & Administration",Inter-Divisional Charges,1149100,
2010,"Policy, Planning, Finance & Administration",Inter-Divisional Recoveries,,10648600
2010,"Policy, Planning, Finance & Administration",Materials & Supplies,1489100,
